ID,Name,Type,Description
50,"Half Dome Yosemite National Park, California",Hiking/Mountain,"As beloved an American icon as apple pie, this 8,839-foot granite behemoth is one of the steepest, most dangerous hikes in the national park system, gaining 5,000 feet of altitude in seven miles. It also suffers from overcrowding. But as long as you secure one of 225 allotted day-hike permits and come fit and prepared, it�s worth it for the sprawling view of Yosemite Valley. Start the route at dawn on the Merced River. After summiting the stone steps along 318-foot Vernal Falls and the subsequent 541-foot Nevada Falls, there�s still halfway to go. At 8,000 feet, the trees disappear and the stone steps to the base of the cables, a vertical walking path to the summit lined by steel handrails, begin. Lightning can move in any time of day, so know when to abort the summit if weather goes sour. Pro tip: for the best chances of winning the permit lottery, apply for a Tuesday or Wednesday slot."
51,Reef and Rainforests of Belize,Adventure/Forest,"The Mayan temples of Belize provide the perfect destination for many a frustrated Indiana Jones while the jungle wildlife of the Orange Walk District includes caiman, howler monkeys and toucans. Excursions include canoeing, horse riding and exploring remote cave systems. The white sand beaches and turquoise seas of Ambergris Caye off the Caribbean coast make the perfect finale."
52,Forests and coral reefs of Panama,Adventure/Forest,"Explore the rainforest and cloud forest of Panama. Search for sloths in the Soberania National Park and spot rare bird species in the rainforest canopy. The cloud forests of the Chiriqui Highlands are also home to the quetzal, whose feathers once graced the headdresses of Mayan chieftains. The tour finishes on the coral reefs of the Caribbean coast."
53,Essence of Central America,Adventure/Forest,"Visit many of Central America�s top jungle locations including Mayan temples in Belize, Tikal in Guatemala�s northern jungles � the largest ruined temple complex in Central America � and El Salvador�s Cinquera Rain Forest Park. Along the way you will stay in jungle lodges and enjoy the rich local cultures of the region�s towns and villages."
54,Costa Rica nature experience,Adventure/Forest,"New for 2018, this tour combines some of Costa Rica�s most famous jungle ecosystems including the lowland rainforest of Tortuguero National Park, the Arenal volcano, and the cloudforest of the Monteverde reserve. You can also include a visit to the remote Osa Peninsula on the Pacific coast with its untouched primary rainforest and ecosystem of freshwater rivers and saltwater lagoons."
55,Undiscovered Colombia,Adventure/Forest,"Colombia�s Cuidad Perdida, or Lost City, in the Sierra Nevada mountains of northern Colombia, was a sacred site of the Tairona people who dominated the area for thousands of years before the Spanish conquest. Found and then lost again by the conquistadores, it remained covered by the jungle until its rediscovery in 1972. The tour combines a visit to Leticia in the Colombian Amazon."
56,Mammals of the Peruvian rainforest,Adventure/Forest,"The Peruvian state of Madre de Dios in the Amazon holds many biodiversity world records. From the Amazon Rainforest Conservation Center you will search for threatened species such as giant river otters � more than double the size of British otters � black spider monkeys and white-lipped peccaries while taking night walks in the forest canopy, spotting rare monkeys, tree frogs, armadillos and exotic birds including tanagers, antbirds and puffbirds."
57,"Napo Eco Lodge, Ecuador",Adventure/Forest,"The Napo Wildlife Center is a luxurious eco lodge in the heart of Amazonian Ecuador where you can explore the surrounding lake, creeks and jungle on foot, and by dugout canoe, led by both a native Anangu guide and an English-speaking naturalist. Bird life includes cobalt-winged parakeets and hoatzins while you may also see capybaras, pink dolphins, giant otters and caiman."
58,Amazon riverboat adventure,Adventure/Forest,"Cruise down the Amazon aboard the riverboat Amatista from Iquitos, Peru, led by a specialist Amazon guide while making excursions by motorised skiff and dug-out canoe in search of sloths, toucans, pink dolphins, piranha and other exotic wildlife. Includes two days exploring Pacaya-Samiria National Reserve with night time excursions to see nocturnal animals."
59,Guyana off the beaten track,Adventure/Forest,"Stay at some of Guyana�s top jungle lodges while visiting the country�s most remote wilderness areas. Highlights include a dawn chorus on the canopy walkway at Iwokrama, a canoe trip along the Burro Burro river from Surama Eco Lodge, a visit to the Amerindian community of Rewa, a walk to the summit of Awarmie Mountain and the famous 741ft waterfalls and forests of Kaieteur."
60,Brazil wildlife adventure,Adventure/Forest,"Three contrasting ecosystems: the Pantanal wetlands, the Amazonian rainforest and the Atlantic rainforest, are the focus of this tour. Activities include horse-riding, canoeing, foot safaris and boat trips. You will stay in the Cristalino Lodge and visit a conservation project in the Alta Floresta region of the Amazon (only accessible by boat) with opportunities to see rare birds, otters, monkeys and tapirs."
61,Madagascar rainforest and island escape,Adventure/Forest,"In Andasibe, one Madagascar�s finest national parks, you�ll search for the indri, largest of all lemurs, along with nocturnal species such as mouse and greater dwarf lemurs. At nearby Mantadia national park, you should also spot the nose-horned chameleon and vivid bird species like blue and red-fronted coucals, rare �dancing� sifaka lemurs and the elusive aye-aye. The tour ends at idyllic �le St-Marie off the east coast."
62,Gorilla trekking in Rwanda,Adventure/Forest,"Located in the jungle-covered cone of an eroded volcano, the indigenous-style architecture of Bisate Lodge�s has set a new standard for comfort with spectacular views over the surrounding landscape. It�s the perfect base for mountain gorilla trekking in the adjacent Volcanoes National Park. Bisate is also a visionary conservation and community project with its first phase focusing on reforestation of a large core site."
63,On foot in Ghana,Adventure/Forest,"This new trek for 2018 explores the Volta Region of Ghana. The area is known for its dramatic landscapes, rainforests and tribal populations. Along the way you will experience a traditional voodoo ceremony and take a canopy walk through the rainforest in Kakum National Park. The tour ends on the Gold Coast bordered by the Atlantic and visiting historic, colonial-era castles and local fishing villages."
64,Remote Tanzania,Adventure/Forest,"Located on the shores of Lake Tanganyika in remote western Tanzania, Greystoke is one of the best camps in the world to encounter wild chimpanzees. Small groups trek into the surrounding jungles of the Mahale mountains to spend time with habituated groups of chimps. Combine with big-game viewing at Chada Katavi camp further south."
65,"Rubondo Island, Lake Victoria",Adventure/Forest,"Hidden beneath sub-tropical rainforest, Rubondo Island on Lake Victoria is home to the largest island-based national park in Africa. Rubondo became a wildlife refuge in the Sixties and as well as superb bird-life and fishing opportunities (there are massive Nile perch), has populations of elephant, giraffe, hippo, crocodile and wild chimpanzees."
66,Indian wildlife safari,Adventure/Forest,"India is home to more than 500 mammal species including many, like the Royal Bengal tiger, under threat. This tour visits the best sanctuaries and reserves for viewing tigers in their natural jungle habitat. These include Jamtara Wilderness Camp in Pench, Treehouse Hideaway in Bandavgarh, Singinawa in Kanha (inspiration for Kipling�s Jungle Book) and Forsyth Lodge in Hoshangabad."
67,Rainforests of Brunei,Adventure/Forest,"Brunei, the tiny nation in the north of Borneo, is renowned for the biodiversity of its rainforests. Spend two nights glamping at Sumbiling Eco Village while trekking and interacting with the local Iban community before visiting the pristine rainforest of Ulu Temburong National Park. Activities include a rainforest canopy walk, boat trips, trekking and swimming under jungle waterfalls."
68,Jungles and beaches in Thailand,Adventure/Forest,"Visit the site of the real Bridge on the river Kwai at Kanchanaburi and the multi-tiered waterfalls in the jungles of Erawan National Park. After Ayutthaya, the ancient capital, the tour heads north exploring the Chiang Mai region and the hill tribe villages of the north while spending a night in a village house. Finish on the small tropical island beach of Koh Samet."
69,Borneo adventure,Adventure/Forest,"The jungles of the third-largest island in the world are home to indigenous tribes and some of the world�s oldest rainforests. After climbing Mount Kinabalu, south-east Asia�s highest peak, explore the Kinabatangan river with its orang-utans, proboscis monkeys, pygmy elephants, tree snakes and civets. Finish in Sepilok with its sanctuary for orphaned orang-utans and sun bear conservation centre."
70,Secret Cambodia,Adventure/Forest,"Staying at some of the country�s most exclusive hotels, lodges and camps, the highlights of this journey across Cambodia include a two-day jungle safari exploring the legendary temples of Angkor and staying at the 4 Rivers Floating Lodge, a luxury tented camp on the edge of the Tatai river. The tour ends on the palm-fringed beaches of Song Saa resort on a private island in the Gulf of Thailand."
71,Jungles of Malaysia,Adventure/Forest,"A family adventure to the rainforests of the Taman Negara National Park on Malaysia�s east coast. After exploring its 130?million-year-old primary rainforest on jungle walks and night safaris, relax, dive, snorkel and kayak on the beaches of the Redang archipelago (nine islands all with jungle-covered interiors) before ending the tour at the luxury Tanjong Jara Resort on the South China Sea."
72,Pristine Langkawi,Adventure/Forest,"Visit orang-utan and sun bear conservation centres and take a birdwatching trip to the Danau Pitas lake on the tropical island of Langkawi. End the day with a sunset cruise down the Kinabatangan river, home to pygmy elephants, silvered leaf monkeys and wild orang-utans. Includes five nights at the luxury eco lodge, Datai Langkawi, located in a remote corner of the island, surrounded by lush tropical rainforest and a pristine crescent bay."
73,Papua New Guinea trek,Adventure/Forest,The jungle-covered mountains of Papua New Guinea�s Owen Stanley Range are synonymous with the heroics of the Australian soldiers sent to halt the advance of the Japanese army during the Second World War. Failure would have meant an invasion of the Australian mainland. This challenging trek along the 60-mile (97km) Kokoda Trail passes many of the key battle sites.
74,Sumatran orang-utans,Adventure/Forest,"Sumatra�s Gunung Leuser National Park is one of the best places in Indonesia to see orang-utans in the wild. Continue to Berastagi and hike up jungle-covered Mount Sibayak, an active volcano, before finishing in Samonsir on Lake Toba. Includes a stay at Ecolodge Bukit Lawang, which helps support the Sumatran Orang-utan Conservation Programme."
75,Queensland and the Great Barrier Reef,Adventure/Forest,"Search for duck-billed platypus, tree kangaroos, possums and gliders in tropical Queensland, Australia�s ultimate wildlife destination. After Cairns and the Great Barrier Reef, you�ll explore the Atherton Tablelands and the rainforests around the crater lakes of Barrine and Eacham, finishing in Lamington National Park, Australia�s most extensive tract of subtropical rainforest."
76,"Gal�pagos Islands, Ecuador",Island,"Not just for the nature lovers or the lovebirds this island also falls on the list of wildlife enthusiast. With its vivid marine life around the 29 islands, this place has become very popular with the people. This place is also called a unique �living museum and showcase of evolution�. Due to the volcanic activity and the ongoing seismic process this island gave birth to the unusual marine life of this island. Lately, this island has geared up thriving towards the tourism industry.  So, guys this island is a must-visit destination for you."
77,Cayman Islands,Island,"When it comes to island destination it�s a total yes right. Then here we bring you another most talked about island in the world. For those of who are planning to get away from the hustle and bustle of daily life then this is the perfect destination for you. Cayman Islands are that ideal low key destination with less people. These are an archipelago of three islands, lying 90 miles south of Cuba. These islands are a hit among the tourist as it provides a great deal of water sports like deep scuba dive in vibrant reefs, snorkeling etc. Another interesting thing is that you can head to the Stingray City where you can meet some new friends or just kick back at Seven Mile Beach."
78,Seychelles,Island,"What could be better then escaping to a crowd free island with crystal clear sapphire waters and a soothing aura? Well then now is your chance to run away to this amazing land. Seychelles is a cluster of 115 islands in the Indian Ocean. Walk on the majestic shorelines with the colourful birds and humongous tortoises.  And the best thing is that you will be actually living your postcards dreams. And get that perfect desktop backgrounds captured on your lenses of the seemingly endless white beaches, giant boulders and swaying palms."
79,"Santorini, Greece",Island,"With the majestic black and red sands, twinkling waters Santorini is definitely the dream destination of all. This place undeniably plays a tune in your heart right? As for the lovers and the honeymooners this is a paradise. Nowadays this destination consists of two inhabited islands and several islets. Marvel at the sight of the amazing view of the region with caldera and the brilliant turquoise pool of water in this archipelago. You can either indulge in some exciting beach activities or just hit the roads meeting new people and exploring the nearby places."
80,"Mallorca, Spain",Island,"With the soaring high mountains, sleepy honey-stone villages, secret coves, soft golden sands, lush green foliage Mallorca is another exotic island destination. This is another most popular tourist destination in the world. This island is a paradise for the adventure seekers and the vacationers. From beaches to theme park to that shopping malls you have been waiting to explore this island has it all. Whether you opt to visit one of the beautiful country houses, explore tip whe enchanting caves, or just chill out in a beach club, Mallorca definitely should be your first call. Make it romantic or just a memorable trip with your friends this island is a must visit for you."
81,"Crete, Greece",Island,"Known as one of the largest island in Greece, Crete is another exotic island destination for you. Hiding among the high mountains, palm tree forests lay the one of a kind sandy beach.  Whether you talk about the marvelous shorelines or the architecture mirroring the styles of the Minoans, the Venetians and the Ottomans, Crete is a magnificence of contemporary Greece. The most interesting thing about this island is that you will find a sense of unity. Stroll down the narrow lanes or dine at a local taverna, or just enjoy a cuppa by the sidewalk caf� you will never cease to admire the beauty of this island."
82,"Cebu, Philippines",Island,If you are looking for some thrilling diving experiences and some cultural bonding then this island is the best place for you. Cebu is the most densely populated island in the Philippines and is the hub around the Visayas. This island is basically known for its stunning white sandy beaches and extravagant diving spots at Bantayan and Malapascua islands. What�s more you can also hit the lively bars and try different kinds of cuisine here.  All you have to do is to decide which one is your favorite and which one you should try. You also have a lot of option for island hopping.
83,"Ischia, Italy",Island,"Known as the largest island in the Bay of Naples with the volcanic outcrop, Ischia is another must visit destination for you.  Whether you talk about the beaches or the rambling spa towns or the abundant gardens, or buried necropolises or its magnificent forest with the vineyards, you will definitely fall in love with this place. Ischia is the perfect spot for the nature lovers and the beach lovers.  Most of the travelers are seen heading to the north coast of towns of Ischia like Ischia Porto, Ischia Ponte, Casamicciola Terme, Forio and Lacco Ameno. What�s more all you need is to do is to explore the amazing Island as much as you want."
84,"Mo�orea, French Polynesia",Island,"If you have that music play in your heart when you hear about the beaches then you have definitely landed on the right place. Also known as the little sister of Tahiti, Moorea has been creating a sensation among the people with its amazing beauty. With the swaying breeze, warm turquoise seas and the white sandy beaches is something which makes this destination one of a kind. Whether you are on your honeymoon trip or for spending a vacation with your friends this island will have unending things for you. This heart-molded volcanic island has been depicted by numerous as the most wonderful place on earth, with its barometrical rough pinnacles, two clearing sounds � Cook�s Bay and Opunohu � and staggering tidal pond with its own three little coral islands or motis."
85,"Palawan, Philippines",Island,"Looking for something more unique and different from the usual the Palawan is just the name for you. With its tranquil beauty of the jagged cliffs jutting out of sparkling turquoise waters, this island gives you that movie like feeling.  A bit isolated from the other cluster of islands Palawan makes a perfect destination for the honeymooners and the beach lovers. The sugary white sandy beaches and the sparkling water will make you fall in love with this place. Palawan also harbors a vast stretch of virgin forests that carpet its chain of mountain ranges. So, guys this is another island which is a must visit for you."
86,"Bora Bora, Society Islands, French Polynesia",Island,"Overflowing with the beauty with the dormant volcanoes and the lush green forest this is another island which is calling travelers from far and wide. This is undoubtedly one of the most visited islands in the world. Internationally acclaimed as the most romantic honeymoon destination this is the best place for them sharing their vows. The island lies just northwest of Tahiti, and your first encounter with the island will be its Blue Lagoon. Another interesting thing about this island is that the villas here are made of glass floor which makes it exceptional from the other. While on the island you can also indulge in some exciting activities like snorkeling, scuba diving and explore the colourful marine life here."
87,"Phuket, Thailand",Island,When we talk about an island vacation Phuket is definitely the destination at the tip of your tongue. Branded as one of the �Pearl of Andaman� this is another island which is a must visit for you. Known for its exotic beach with the sun Phuket is the number one when it comes to the beachoholics. The town here is all decked up with the magnificent markets everywhere and is the cultural hub for the people residing here.  What�s more all you can wish for here is to hit the waters with some exciting and thrilling activities in Phuket. When not in the waters you can just stroll down the lanes of the roads and explore the markets. Also meet some new people and learn about their culture and various other places.
88,"Maui, Island in Hawaii",Island,"with Moana these days right. If not then let me tell you about the demigod Maui the demi god in the animated movie Moana and this island is actually on the name of that demigod. This island is a must visit for the beach lovers and the newlyweds. Maui caters with various attractions and a lot of activities. If you are a thrill seeker then you can go for an amazing hike in the dormant Haleakala volcano. Or you can just relax in the beach basking in the sun. And then again if you have a fetish for exploring the cultures then you have the sites like Iao Valley State Park, Banyan Tree Park and the Old Lahaina Luau for you."
89,"St. Kitts & Nevis, Country Islands in the Caribbean",Island,"If you are looking for an island visit this is another island which is a must visit for you.  These islands were originally inhabited by the Native Americans. For the once who are seeking for some lone time along with your partner St. Kitts and Nevis is the perfect spot for you. Away from the crowded places St Kitts is much more chilled then the other island nearby.  With its crystal clear emerald waters the beaches nearby makes it an ideal place for snorkeling, scuba diving and surfing. And yes, the most amazing thing is the sunset which will keep your eyes wide open."
90,U.S. Virgin Islands,Island,"When we talk about island all you can conjure up in your mind is an escape from the rat race with a perfect patch of sand where you can relax under rustling palms and gaze at a serene blue sea. Well this is exactly what you are looking for. Whether you are planning an outing with your family or your beloved this island is definitely a go go for you. Venture into the island and indulge in a lot of activities like snorkeling, scuba diving etc. There are huge aquariums, a shark tank, sea turtles, sea lion which will surely make your day. Just head out for this exotic vacation and make it a memorable one along with your loved ones."
91,Fiji,Island,"When we talk about island Fiji is like a fantasy dream for all. With the white sandy beaches, transparent turquoise waters, and teeming coral reefs this island is one of the most loved tourist destinations.  And what excite you more is the Fijian people who will welcome you with their open arms. Walk unshod through the amazing shoreline along with your friends and click some memorable pictures. Snorkeling, rafting, diving are some of the best activities which are favorite among the people. The breezy palm trees and the silky warm beach add that glory of the perfect evening. Guys, this is another island which is a must visit for you."
92,"Anguilla, British Oversees Territory",Island,"This is another destination which is gaining a lot of among the people all over the world. Anguilla is a warm and welcoming island destination tucked away in the northern Caribbean. Grasped by unrivaled white shorelines and stunning turquoise oceans, Anguilla is easygoing and simple, a novel mix of high style and serene class, and the best of the great life set to a moderate and easygoing island rhythm. This island is an affair that enamors makes the people fall in love with this place. Be it the amazing history of the local culture or the mouth watering cuisines this island is definitely a must go destination for you."
93,Koh Tao,Island,fall in the adventurous category then this is the right place for you. To be true this is lovers paradise cum adventure seekers dream destination. This island is a small island but has gained a lot of popularity among the people across the world. Whether bask in the sun in the shiny sandy beach or indulge in some exciting scuba diving you will just fall in love with this place. Another interesting thing about this island is the coastal forest on the background which makes it more worth remembering.
94,"Whitsunday Islands, Australia",Island,The name itself sounds interesting right. Well guys we bring you another best island around the world which should be a must visit destination on your bucket list. Whitsunday Islands are a total classic tropical island fantasy. What�s more there are a lot of options for the travelers in the island. The alluring waters always calls for that deep diving in the ocean and the sandy beach for that perfect tropical sun tan. You can also head out for a hike in the hiking trails or visit the National Park situated near the island.
95,"Capri, Italy",Island,"Known for its unique rugged landscape with the blue grotto, a glowing sea cave, Capri is another island which is a must visit for you.  This island is one of the most happening islands around the world which is visited by tourist all around the year. This island is around 20 kilometers off the Amalfi Coast. Now all you have to do is decide whether you want to spend some time by the beach side or explore the nearby places. The island also has a variety of eateries where you can try different types of cuisine."
96,"The Dalmatian Islands, Croatia",Island,"Another island which is lately becoming one of the major tourist destinations these days is The Dalmatian Islands. The islands are an enchanting mix of relaxed charm and rich history. With the quaint villages and the hotels surrounded by the sea makes it an ideal destination for the beachoholics and the globe trotters. There is also a gothic church named Hvar which is a must visit spot for you here. Other places which you can visit here are Kor?ula with its red-roofed white-washed buildings, Mljet with its two inland saltwater lakes etc. So this time don�t miss a chance to visit this island."
97,The Cook Islands,Island,"It�s time to relive you Robinson Crusoe fantasies. The Cook Islands are the perfect destination for the ones who have been long searching for isolation. The archipelago�s 15 islands are known for their tempting sea green/blue tidal ponds, palm-bordered shorelines, and volcanic pinnacles. Rarotonga is the fundamental vacationer center point, with its many resorts, rich pinnacles, and ample shorelines. With the shorelines encompassing this island this turns into a heaven for the explorers and the honeymoon couples. Hibiscus-bound towns cuddle on the slopes, and along its glorious tidal pond lie 21 motus or little islets, many inside kayak separation of the resorts."
98,Kaua?i,Island,"Another island which falls under the radar of the beach lovers is the Kaua�i island. Also known as the �the Garden Isle� this island is creating a lot of sensation among the island destination lovers. With the amazing waterfall that tumbles out from the lava, the inebriating scent of tropical sprouts hangs overwhelming on the sultry air this island is a dream destination for all. The island�s magnificence lies not simply in its rich vegetation and copious rain but it�s fabulous coastline will blow your mind. Magma shaped this stunning island, pushing up from the sea floor to frame smooth edges and vertiginous bluffs rimmed by stunning shorelines. Underneath its cobalt-blue oceans, turtles and tropical fish swim along coral reefs, enchanting jumpers and snorkelers from around the world."
99,St. Lucia,Island,"Another island which is slowly gaining a lot of popularity among the people all around the world is St. Lucia. With dark and brooding beauty this island is not known for its beaches but for its one of a kind landscape. The twin volcanic peaks with a backdrop of the serene forest, waterfalls, quaint fishing villages and hot water springs makes it a perfect destination for all. Whether it�s about the amazing beauty with such a back drop or just the surroundings, this place will definitely make you change your mind about coming back."
100,"Bali, Indonesia",Island,"When it�s about exploring islands then there is one hot destination Bali. Bali has been always a favorite destination for all. Whether it�s the beach lovers or the honeymooners Bali is at the top of their list. Saturated with an inebriating society, the island of Bali is that perfect destination. Incense floats from Hindu sanctuaries, rice paddies gleam in electric greens, and the sustenance shocks the taste buds. Surfing, swimming, shopping, and sunbathing are the prime interests on this extraordinary isle, and touring in the rich field. Drench up the profound side of Bali in Ubud, feel the pumping beat of touristy Kuta, or investigate the attractions on the neighboring volcanic island of Lombok."
101,"Angkor Wat, Cambodia",Historical Monument,"Angkor Wat is the world�s largest religious monument and it contains impressive remains from the 9th � 15th century Khmer Empire. Hosting more than two million visitors a year, this artistic masterpiece is one of the most-visited historical sites in the world."
102,"Taj Mahal, India",Historical Monument,"One of the most renowned attractions in the world, this ivory-white mausoleum was commissioned by Mughal emperor Shah Jahan to hold the tomb of his favorite wife, Mumtaz Mahal. It�s an amazing symbol of India�s history and you�ll experience Mughal architecture at its finest when you visit the Taj Mahal."
103,"Easter Island, Chile",Historical Monument,"This remote Polynesian island is famed for its 887 surviving monumental statues. With shrines dating back to the 10th century, the landscape is unlike any other you�ll ever see."
104,"Petra, Jordan",Historical Monument,"Petra�s rock-cut architecture has contributed to its nickname, the Rose City, based on the color of the stone it was carved from. The intricate construction of temples and tombs along with the remains of churches and temples are only a couple of reasons why this world-famous site is a must-visit destination."
105,"Machu Picchu, Peru",Historical Monument,"Rising up from a mountain forest to almost 8,000 feet above sea level is Machu Picchu, one of the Inca Empire�s greatest masterpieces. Machu Picchu is often the highlight of a visit to South America. Machu Picchu is an Incan citadel set high in the Andes Mountains in Peru, above the Urubamba River valley. Built in the 15th century and later abandoned, it�s renowned for its sophisticated dry-stone walls that fuse huge blocks without the use of mortar, intriguing buildings that play on astronomical alignments and panoramic views. Its exact former use remains a mystery."
106,"Pyramids of Giza, Egypt",Historical Monument,"The Great Pyramid of Giza (also known as the Pyramid of Khufu or the Pyramid of Cheops) is the oldest and largest of the three pyramids in the Giza pyramid complex bordering present-day Giza in Greater Cairo, Egypt. It is the oldest of the Seven Wonders of the Ancient World, and the only one to remain largely intact. The only lasting wonder of the ancient world, these unbelievable monuments were constructed back when Egypt was one of the world�s most powerful civilizations around 4,500 years ago. While the Great Pyramids and the Sphinx usually get the most attention, the whole monument complex contains three pyramids complexes, an industrial complex, cemeteries, and a workers� village."
107,"Old City of Jerusalem, Israel",Historical Monument,"Boasting lofty 16th century walls, amazing sites like the Western Wall, unique markets, and quaint alleyways, it�s no surprise that this holy city is one of the most-visited World Heritage Sites. Packed with more than 200 historical monuments with tremendous religious significance, there�s nothing quite like the Old City of Jerusalem."
108,"Great Wall, China",Historical Monument,"The Great Wall of China is the collective name of a series of fortification systems generally built across the historical northern borders of China to protect and consolidate territories of Chinese states and empires against various nomadic groups of the steppe and their polities. Stretching almost 13,171 miles, more than ten million people visit the Great Wall of China every year. Building began in the 3rd century BC, and by the time it was finished in the 17th century AD it was the largest military structure in the world and had great architectural and historic importance."
109,"Acropolis, Athens, Greece",Historical Monument,"This ancient citadel dominates Athens as it holds the remnants of buildings that had major historic importance. Esteemed sculptors and architects designed these monuments where theatre, democracy, philosophy, speech, and freedom of expression were eventually produced. Highlighted by the Parthenon, the Acropolis is one of the most significant ancient sites in the world."
110,"Historic Centre of the City of Salzburg, Austria",Historical Monument,"Italian and German cultures clashed to create the beautiful Baroque and medieval architecture that make seeing this Old Town one of the must-do activities in Salzburg. A stroll through quaint alleyways and down charming cobblestone streets will yield everything from Hohensalzburg Castle and domes and spires to unique exhibits and the Getreidegasse, Salzburg�s most famous shopping street."
111,Vatican City,Historical Monument,"The world�s smallest country has huge significance. Not only is the Catholic holy city home to the pope, but it also houses countless pieces of prized art and many years of great history. Baroque and Renaissance art and architecture characterize Vatican City, and are displayed perfectly at one of the world�s largest religious buildings, St. Peter�s Basilica."
112,"Giant�s Causeway, UK",Historical Monument,"One of Ireland�s top attractions, we can thank the many years of volcanic activity for producing this remarkable rock formation. The striking scene of 40,000 ginormous basalt columns rising from the sea isn�t one you�ll soon forget. One of Northern Ireland's best-known attractions, the Giant's Causeway is a remarkable natural rock formation. This UNESCO World Heritage Site was created by cooling lava millions of years ago - the thousands of basalt columns have various legends associated with them, the most famous involving a fight between giants from Ireland and Scotland. Climb atop the colums for stunning views of the Atlantic Ocean and keep your eyes open for all kinds of rare plants, butterflies, snails, and bees! You can walk the stones for free but there is a fee for parking and to enter the Visitor Centre."
113,"Abu Simbel, Egypt",Historical Monument,"A small village with beautiful views of the desert and lake, Abu Simbel�s claims to fame are its two enormous temples that were rescued from Lake Nasser�s rising waters. Each temple is impressive in its own right with the Temple of Ramses II containing four statues of Ramses that are more than 20 meters tall and the Temple of Hathor being one of Egypt�s best-preserved complexes."
114,"Chichen Itza, Mexico",Historical Monument,"The center of pilgrimage for more than 1,000 years and previously the Yucat�n�s most powerful city, the Mayans really did us a favor by creating Chichen Itza. One of the greatest places to visit in Mexico, there�s still so much to enjoy here from ancient carvings in the structures to sound and light shows in the evenings. Highlighted by El Castillo, the striking 30-meter step pyramid makes Chichen Itza stand out among Mexico�s best ruins."
115,"Cultural Landscape of Bali, Indonesia",Historical Monument,"While Bali is typically famous for its beaches and mountains, UNESCO draws our attention to its five rice terraces and their water temples, including the 18th-century Royal Water Temple of Pura Taman Ayun. One of the reasons why it�s so significant is because of the use of the 9th century farming practice called subak, which helped the Balinese become effective rice growers."
116,"Leshan Giant Buddha, China",Historical Monument,"Back in the 8th century, Hai Tong led the charge to carve the Leshan Giant Buddha out of a cliff face. The result was a 71-meter Buddha statue that is both the tallest and largest in the world."
117,"Yellowstone National Park, USA",Historical Monument,"The world�s first national park sits on top of a volcanic hot spot and offers everything from great views to fun activities and wildlife sightings. Home to lush forests, hot springs, alpine rivers, geyers, and more, it�s not hard to see why it�s one of the greatest parks in the USA."
118,"Ha Long Bay, Vietnam",Historical Monument,"Known for its limestone pillars and rainforests, Ha Long Bay is made up of nearly 2,000 islands. While most of the islands are uninhabited, the large caves and trees on many of them make for stunning landscapes."
119,"Iguazu National Park, Brazil/Argentina",Historical Monument,"The crown jewel of this national park is one of the world�s most impressive waterfalls which spans almost 9,000 feet. Sitting in both Argentina and Brazil, the spray from the waterfall contributes to lush vegetation and more than 2,000 types of vascular plants within the rainforest."
120,"Hampi, India",Historical Monument,"This majestic city contains the remains of the last great Hindu kingdom. Created during the Vijayanagara Empire, more than 1,600 pieces still remain and include temples, gateways, forts, and more. With a landscape defined by hill ranges, open plains, and the Tungabhadra River, the city has a rocky topography that�s perfect for those who enjoy climbing."
121,"Mont Saint Michel, France",Historical Monument,"Initially founded by a hermit from Ireland, this medieval town is characterized by intricate architecture and curvy streets and is most known for having one of France�s best attractions, the Mont Saint Michel Abbey. Started in the 10th century, this Benedictine abbey is a great example of Gothic and Romanesque architecture, and it was one of the first UNESCO World Heritage Sites. The rocky isle of Mont Saint Michel is also home to more than 60 buildings that are protected as French national heritage sites."
122,"Pergamon, Turkey",Historical Monument,"Dating back to the 3rd century BC, Pergamon was one of the ancient world�s major learning hubs. Its most renowned site was Pergamon Altar, a monumental construction that was likely dedicated to Greek gods Zeus and Athena. As the capital of the Attalid dynasty, it was also home to exceptional theatres, temples, porticoes, and many other types of monuments that you can still visit today. Surviving through many civilizations, the acropolis even houses remains from the Byzantine, Ottoman, and Roman empires."
123,"Rani-ki-Vav, India",Historical Monument,"Rani-ki-Vav, or the Queen�s Stepwell, was constructed in the 11th century AD to memorialize King Bhimdev I. The water resource and storage system was built using the complex and intricate Maru-Gurjara architectural style. Designed as an inverted temple, Rani-ki-Vav has seven levels and more than 1,000 sculptures to explore."
124,"Hierapolis-Pamukkale, Turkey",Historical Monument,"Comprised of mineral forests, terraced basins, and petrified waterfalls, we can thank mineral-infused water from C�r�ksu for the amazing site that we call Pamukkale, or the Cotton Palace. This area shares its fame with the well-preserved city of Hierapolis. At the end of the 2nd century BC, the Attalid kings of Pergamon decided to create the thermal spa of Hierapolis and use its hot springs. Previously a significant religious center for the Eastern Roman Empire, today we can still see the ruins of temples, baths, a theatre, and other Greek structures. History, views, and relaxation mix to create an epic trip to Hierapolis-Pamukkale."
125,"Ayutthaya Historical Park, Thailand",Historical Monument,"Among the best places to visit in Thailand, the island city of Ayutthaya was established in 1351 by King Ramathibodi I and became Siam�s second capital. Today, the Ayutthaya Historical Park covers its ruins and 289 hectares of the park have been given UNESCO status because of the exemplary Thai art that�s on display. With many buildings to see, some of the highlights include the Buddhist temples of Wat Mahathat, Wat Phra Sri Sanphet, and Wat Ratchaburana."
